,Name,Artist,year_in_which_song_repeated,Genre,song_repeated_in_one_year_count,total_years_song_repeated
3678,high,big sean,2011,Rap,1,1
3679,hangover,taio cruz,2011,Rap,1,1
3680,words i never said,lupe fiasco,2011,"Pop,Conscious Hip-Hop,Rap",1,1
3681,how to hate,lil wayne,2011,Rap,1,1
3682,what if,colbie caillat,2011,Rock,1,1
3683,closer to the edge,thirty seconds to mars,2011,Rock,1,1
3684,where have you been,rihanna,2011,"House,Electro-Pop,Pop",1,2
3685,when you're young,3 doors down,2011,Rock,1,1
3686,hair,lady gaga,2011,"Techno,Electronic Rock,Electro-Pop,Synth-Pop,Electronic,Pop",1,1
3687,when i'm gone,wiz khalifa,2011,Rap,1,2
3688,what the water gave me,florence + the machine,2011,"Art Pop,Art Rock,Indie Rock,Indie Pop,Alternative,Alternative Rock,Rock",1,1
3689,unbroken,demi lovato,2011,"Pop,R&;B",1,1
3690,run,matt nathanson,2011,"Rock,Pop,Country",1,1
3691,it's good,lil wayne,2011,"Gangsta Rap,Hardcore Hip-Hop,Rap",1,1
3692,nightmares of the bottom,lil wayne,2011,Rap,1,1
3693,shake up christmas,train,2011,"Christmas,Rock",1,1
3694,fight for you,jason derulo,2011,"Pop,R&;B",1,1
3695,ships in the night,mat kearney,2011,Rock,1,1
3696,shot for me,drake,2011,"R&;B,Canada,Rap",1,1
3697,red nation,game,2011,Rap,1,1
3698,fix a heart,demi lovato,2011,"R&;B,Pop",1,1
3699,smile back,mac miller,2011,"Trap,Conscious Hip-Hop,Rap",1,1
3700,so special,lil wayne,2011,Rap,1,1
3701,president carter,lil wayne,2011,Rap,1,1
3702,pause,pitbull,2011,"Electro-Pop,Pop,Rap",1,1
3703,over you,miranda lambert,2011,"Country,Rock",1,2
3704,stay the night,james blunt,2011,Pop,1,1
3705,"for you, and your denial",yellowcard,2011,Rock,1,1
3706,drunk on you,luke bryan,2011,"Country,Rock",1,2
3707,superman,taylor swift,2011,"Country,Pop",1,1
3708,dancin' away with my heart,lady antebellum,2011,Country,1,2
3709,taboo,don omar,2011,"Pop,Reggaeton,En Espa\xc3\xb1ol",1,1
3710,better than i used to be,tim mcgraw,2011,"Country,Rock",1,2
3711,my body,young the giant,2011,Rock,1,1
3712,teenage daughters,martina mcbride,2011,Country,1,1
3713,big night,big time rush,2011,"West Coast,Teen Pop,Boy Band,Pop",1,1
3714,the ballad of mona lisa,panic! at the disco,2011,"Baroque Pop,Power Pop,Alternative Pop,Alternative,Pop-Rock,Punk Rock,Alternative Rock,Pop-Punk,Rock",1,1
3715,the creep,the lonely island,2011,"Electro,Comedy,Rap",1,1
3716,megaman,lil wayne,2011,Rap,1,1
3717,lullaby,nickelback,2011,Rock,1,1
3718,the race,wiz khalifa,2011,Rap,1,1
3719,all i want for christmas is you,michael buble,2011,"Cover,Christmas,Holiday,Jazz,Pop",1,1
3720,lost in paradise,evanescence,2011,"Ballad,Piano,Rock",1,1
3721,lessons in love,kaskade,2011,Pop,1,1
3722,after midnight,blink,2011,"Pop-Rock,Pop,Punk Rock,Pop-Punk,Rock",1,1
3723,haunted,taylor swift,2011,"Pop-Rock,Country,Pop",1,2
3724,hanging by a moment,lifehouse,2001,"Indie Rock,Alternative,Pop-Rock,Adult Alternative,Post-Grunge,Alternative Rock,Rock",47,2
3725,drops of jupiter,train,2001,"Adult Contemporary,Adult Alternative,Ballad,Pop-Rock,Pop,Rock",42,2
3726,drive,incubus,2001,"Adult Alternative,Pop-Rock,Acoustic,Alternative Rock,Rock",39,1
3727,thank you,dido,2001,"Trip-Hop,Pop,Rock",38,1
3728,it's been awhile,staind,2001,"Alternative Rock,Memes,Nu-Metal,Alternative Metal,Rock",37,2
3729,follow me,uncle kracker,2001,"Adult Contemporary,Pop-Rock,Pop Country,Country,Rock",33,1
3730,let me blow ya mind,eve,2001,Rap,32,1
3731,if you're gone,matchbox twenty,2001,"Adult Alternative,Alternative Rock,Ballad,Adult Contemporary,Pop-Rock,Rock,Pop",29,2
3732,i hope you dance,lee ann womack,2001,Country,28,2
3733,ride wit me,nelly,2001,"Hip-Hop,Pop,Rap",28,1
3734,south side,moby,2001,"Alternative Pop,Alternative,Electronica,Alternative Rock,Pop,Rock",27,2
3735,fill me in,craig david,2001,"UK,R&;B,Pop",27,1
3736,angel,shaggy,2001,"Jamaica,Dance,Reggae,R&;B",26,2
3737,only time,enya,2001,"Ballad,Ireland,Adult Contemporary,New Age,Pop",25,3
3738,put it on me,ja rule,2001,"East Coast,Hip-Hop,Rap",25,2
3739,i'm real,jennifer lopez,2001,"Remix,R&;B,Rap",25,2
3740,i'm like a bird,nelly furtado,2001,"R&;B,Folk,Canada,Pop",24,1
3741,u remind me,usher,2001,"Soul Pop,Neo Soul,Soul,R&;B",24,1
3742,the space between,dave matthews band,2001,"Alternative,Alternative Rock,Rock",23,1
3743,differences,ginuwine,2001,"Soul,Soul Pop,Pop,R&;B",23,2
3744,family affair,mary j. blige,2001,"Soul Pop,Pop,R&;B",23,2
3745,all for you,janet,2001,"Dance,Pop,R&;B",22,1
3746,missing you,case,2001,"R&;B,Pop",22,1
3747,butterfly,crazy town,2001,"Rock,Rap",22,1
3748,stranger in my house,tamia,2001,"Pop,Remix,Dance",21,1
3749,love,musiq soulchild,2001,R&;B,21,1
3750,she couldn't change me,montgomery gentry,2001,Country,21,1
3751,raise up,petey pablo,2001,Rap,21,1
3752,just in case,jaheim,2001,R&;B,20,1
3753,be like that,3 doors down,2001,"Post-Grunge,Alternative Rock,Rock",20,1
3754,mad season,matchbox twenty,2001,"Pop-Rock,Alternative Rock,Rock",20,1
3755,who i am,jessica andrews,2001,Pop,20,1
3756,irresistible,jessica simpson,2001,"Disney,Soundtrack,Rock",20,1
3757,jaded,aerosmith,2001,"Alternative Rock,Hard Rock,Rock",20,1
3758,music,erick sermon,2001,"East Coast,Rap",20,1
3759,flavor of the weak,american hi,2001,"Pop-Punk,Punk Rock,Rock",20,1
3760,i'm already there,lonestar,2001,"Pop Country,Ballad,Adult Contemporary,Country",20,1
3761,i'm a thug,trick daddy,2001,Rap,20,1
3762,i'm a believer,smash mouth,2001,"Soundtrack,Cover,Pop-Rock,Rock",20,1
3763,here's to the night,eve 6,2001,"Pop-Rock,Alternative Rock,Rock",20,1
3764,heard it all before,sunshine anderson,2001,"Neo Soul,Soul Pop,R&;B",20,1
3765,more than that,backstreet boys,2001,"Boy Band,Pop",20,1
3766,where the blacktop ends,keith urban,2001,Country,20,1
3767,never had a dream come true,s club 7,2001,"UK,Pop",20,1
3768,right where i need to be,gary allan,2001,Country,20,1
3769,turn off the light,nelly furtado,2001,"Canada,Pop",20,2
3770,breathless,the corrs,2001,"Folk,Pop,Pop-Rock",20,1
3771,"so fresh, so clean",outkast,2001,"Atlanta,R&;B,Soul,Hip-Hop,Dirty South,Soul Pop,Pop,Rap",20,1
3772,grown men don't cry,tim mcgraw,2001,"Country,Rock",20,1
3773,schism,tool,2001,"Progressive Metal,Progressive Rock,Rock",20,1
3774,austin,blake shelton,2001,"Country,Rock",20,1
3775,crawling,linkin park,2001,"Rap Rock,Alternative,Alternative Rock,Alternative Metal,Memes,Nu-Metal,Rock",20,1
3776,play,jennifer lopez,2001,"Pop,R&;B",20,1
3777,one more day,diamond rio,2001,Country,20,1
3778,on a night like this,trick pony,2001,Country,20,1
3779,am to pm,christina milian,2001,"Dance-Pop,Pop,R&;B",19,2
3780,smooth criminal,alien ant farm,2001,"Adult Alternative,Funk Rock,Hard Rock,Post-Grunge,Pop-Rock,Nu-Metal,Cover,Alternative Metal,Alternative Rock,Rock",19,2
3781,someone to call my lover,janet,2001,"R&;B,Pop",19,1
3782,maybe i deserve,tank,2001,"Producer,Soul Pop,Soul,Singer-Songwriter,R&;B",19,1
3783,i like them girls,tyrese,2001,R&;B,19,1
3784,i could not ask for more,sara evans,2001,Country,19,1
3785,you shouldn't kiss me like this,toby keith,2001,"Country,Rock",19,2
3786,angry all the time,tim mcgraw,2001,"Country,Rock",19,1
3787,lay low,snoop dogg,2001,"Gangsta Rap,Hardcore Hip-Hop,West Coast,Rap",19,1
3788,feelin' on yo booty,r. kelly,2001,"Soul Pop,Soul,Pop,R&;B",19,1
3789,bad day,fuel,2001,"Alternative Rock,Post-Grunge,Rock",19,1
3790,if you can do anything else,george strait,2001,"Country,Rock",18,1
3791,ugly,bubba sparxxx,2001,"Dirty South,Hip-Hop,Country Rap,Country,Rap",18,2
3792,promise,jagged edge,2001,R&;B,18,2
3793,two people fell in love,brad paisley,2001,"Country,Rock",18,1
3794,who's that girl?,eve,2001,Rap,18,1
3795,but for the grace of god,keith urban,2001,Country,18,2
3796,where i come from,alan jackson,2001,Country,18,2
3797,if i fall you're going down with me,dixie chicks,2001,Country,18,1
3798,lifetime,maxwell,2001,R&;B,17,2
3799,angel,lionel richie,2001,Rock,17,1
3800,you rock my world,michael jackson,2001,"R&;B,Pop",17,2
3801,video,india.arie,2001,"Soul,R&;B",17,2
3802,everywhere,michelle branch,2001,"Pop-Rock,Pop",17,2
3803,take you out,luther vandross,2001,R&;B,17,1
3804,one step closer,linkin park,2001,"Nu-Metal,Rock",17,1
3805,could it be,jaheim,2001,"Neo Soul,Soul,R&;B",17,2
3806,don't tell me,madonna,2001,"Pop,Dance,Electronic",17,2
3807,livin' it up,ja rule,2001,"Gangsta Rap,Hip-Hop,East Coast,Rap",17,2
3808,how you remind me,nickelback,2001,"Alternative Rock,Hard Rock,Post-Grunge,Rock",17,2
3809,area codes,ludacris,2001,Rap,17,1
3810,one woman man,dave hollister,2001,Pop,16,2
3811,one more time,daft punk,2001,"Dance,Pop,Electronic,House",16,1
3812,dance with me,112,2001,Rap,16,2
3813,when somebody loves you,alan jackson,2001,Country,16,1
3814,it's over now,112,2001,R&;B,16,2
3815,i'm a survivor,reba,2001,Country,16,2
3816,free,mya,2001,"Rap,Soundtrack,Pop,R&;B",16,1
3817,burn,jo dee messina,2001,Pop,15,2
3818,there she goes,babyface,2001,"Soul Pop,Pop,R&;B",15,1
3819,love don't cost a thing,jennifer lopez,2001,"Pop,R&;B",15,2
3820,ms. jackson,outkast,2001,"Atlanta,Hip-Hop,R&;B,Soul,Dirty South,Memes,Soul Pop,Pop,Rap",15,2
3821,downtime,jo dee messina,2001,Pop,15,1
3822,wish you were here,incubus,2001,"Post-Grunge,Alternative Rock,Rock",15,2
3823,set it off,juvenile,2001,Rap,15,1
3824,emotional,carl thomas,2001,"Soul Pop,Soul,Neo Soul,R&;B",14,2
3825,stuck in a moment you can't get out of,u2,2001,"Ireland,Rock",14,2
3826,u got it bad,usher,2001,"Neo Soul,Soul Pop,Soul,R&;B",14,2
3827,don't talk,jon b,2001,"Soul Pop,R&;B",14,1
3828,i cry,ja rule,2001,"Hardcore Hip-Hop,Hip-Hop,East Coast,R&;B,Rap",14,1
3829,my way,limp bizkit,2001,"Alternative Metal,Rap Rock,Alternative Rock,Metal,Nu-Metal,Rock,Rap",14,1
3830,soul sista,bilal,2001,"Rap,Neo Soul,Soul,R&;B",14,1
3831,hero,enrique iglesias,2001,"Spanish Music,Latin Pop,Pop",14,2
3832,pour me,trick pony,2001,Country,14,1
3833,what am i gonna do,tyrese,2001,R&;B,14,2
3834,with arms wide open,creed,2001,Rock,13,2
3835,kryptonite,3 doors down,2001,"Alternative,Post-Grunge,Alternative Rock,Rock",13,2
3836,ashes by now,lee ann womack,2001,Country,13,2
3837,tell her,lonestar,2001,Country,13,2
3838,it wasn't me,shaggy,2001,Rap,13,2
3839,babylon,david gray,2001,"Piano,Adult Contemporary,Adult Alternative,Singer-Songwriter,Folk Rock,Pop-Rock,Pop,Rock",13,2
3840,control,puddle of mudd,2001,Pop,12,2
3841,beautiful day,u2,2001,"Indie Rock,Adult Alternative,Adult Contemporary,Rock",12,2
3842,dig in,lenny kravitz,2001,Rock,12,2
3843,fat lip,sum 41,2001,"Gaming,Soundtrack,Punk Rock,Skate Punk,Rap,Canada,Pop-Punk,Rock",12,1
3844,who we be,dmx,2001,"Gangsta Rap,Rap",12,1
3845,laredo,chris cagle,2001,Country,12,1
3846,i wanna talk about me,toby keith,2001,"Country,Rock",12,2
3847,"lights, camera, action!",mr. cheeks,2001,Rap,12,2
3848,clint eastwood,gorillaz,2001,"British Rock,Piano,Rap Rock,Hip-Hop,Alternative,Alternative Rock,Rock,Trip-Hop,UK,Rap,Producer",11,1
3849,by your side,sade,2001,"Soul Pop,Jazz,Pop,Soul,R&;B",11,1
3850,my first love,avant,2001,R&;B,11,2
3851,i'm tryin',trace adkins,2001,Country,11,2
3852,i did it,dave matthews band,2001,"Alternative,Alternative Rock,Rock",11,1
3853,fade,staind,2001,"Alternative Metal,Nu-Metal,Rock",11,2
3854,angels in waiting,tammy cochran,2001,Pop,11,1
3855,i'm a slave 4 u,britney spears,2001,"Dance,Electro-Pop,R&;B,Pop",11,2
3856,where the stars and stripes and the eagle fly,aaron tippin,2001,Country,11,2
3857,with me,lonestar,2001,Country,10,2
3858,get the party started,p!nk,2001,"Dance-Pop,Dance,Pop",10,2
3859,run,george strait,2001,"Country,Rock",10,2
3860,riding with private malone,david ball,2001,Country,10,2
3861,there it is,ginuwine,2001,"R&;B,Pop",10,1
3862,stronger,britney spears,2001,"Dance-Pop,Teen Pop,Electro-Pop,Pop",10,2
3863,what it feels like for a girl,madonna,2001,"Pop,Electronic",10,1
3864,"whenever, wherever",shakira,2001,"Pop,Latin Pop,Rock",10,2
3865,dream on,depeche mode,2001,"Synth Rock,Synth-Pop,Rock",10,1
3866,because i got high,afroman,2001,"Comedy,Memes,Rap",10,1
3867,born to fly,sara evans,2001,Country,9,2
3868,x,xzibit,2001,"West Coast,Rap",9,2
3869,thank you for loving me,bon jovi,2001,Rock,9,1
3870,my sacrifice,creed,2001,"Hard Rock,Rock",9,2
3871,in the end,linkin park,2001,"Alternative Metal,Alternative Rock,Metal,Hard Rock,Rap Rock,Nu-Metal,Rap,Rock",9,3
3872,my next thirty years,tim mcgraw,2001,"Country,Rock",9,2
3873,loser,3 doors down,2001,"Rock,Alternative Rock",9,2
3874,a good day to run,darryl worley,2001,Pop,9,1
3875,we danced,brad paisley,2001,"Country,Rock",8,2
3876,girl next door,musiq soulchild,2001,R&;B,8,1
3877,i wish,r. kelly,2001,"Singer-Songwriter,Hip-Hop,Rap,Soul Pop,Soul,Pop,R&;B",8,2
3878,still on your side,bbmak,2001,Pop,8,2
3879,brotha,angie stone,2001,"Soul,R&;B",8,2
3880,the rock show,blink,2001,"Alternative Rock,Pop-Punk,Punk Rock,Rock",8,1
3881,break ya neck,busta rhymes,2001,Rap,8,2
3882,shape of my heart,backstreet boys,2001,"Boy Band,Pop",8,2
3883,e.i.,nelly,2001,"Hip-Hop,Pop,Rap",7,2
3884,without you,dixie chicks,2001,Country,7,2
3885,why they call it falling,lee ann womack,2001,Country,7,1
3886,wrapped around,brad paisley,2001,"Country,Rock",7,2
3887,goodbye,jagged edge,2001,"R&;B,Pop",7,2
3888,playas gon' play,3lw,2001,R&;B,7,1
3889,always on time,ja rule,2001,Rap,7,2
3890,standing still,jewel,2001,"Singer-Songwriter,Folk Rock,Folk,Adult Alternative,Adult Contemporary,Pop-Rock,Pop",7,2
3891,can't fight the moonlight,leann rimes,2001,Pop,7,3
3892,the call,backstreet boys,2001,"Boy Band,Pop",6,1
3893,just another day in paradise,phil vassar,2001,Country,6,2
3894,www.memory,alan jackson,2001,Country,6,2
3895,stan,eminem,2001,"Hip-Hop,Hardcore Hip-Hop,SHADYXV,Horrorcore,Rap",6,2
3896,butterflies,michael jackson,2001,"Soul Pop,R&;B,Pop",6,2
3897,you should've told me,kelly price,2001,R&;B,5,2
3898,young'n,fabolous,2001,Rap,5,2
3899,imitation of life,r.e.m.,2001,"Alternative Rock,Pop-Rock,Rock",5,1
3900,oklahoma,billy gilman,2001,Pop,5,2
3901,georgia,carolyn dawn johnson,2001,Pop,5,1
3902,good morning beautiful,steve holy,2001,Country,5,2
3903,hey baby,no doubt,2001,"Dancehall,Pop,Rock",4,2
3904,liar,profyle,2001,"Soul,Neo Soul,R&;B,Pop",4,2
3905,the itch,vitamin c,2001,Pop,4,2
3906,7 days,craig david,2001,"UK,R&;B,Pop",4,2
3907,rose bouquet,phil vassar,2001,Pop,4,1
3908,thank you in advance,boyz ii men,2001,"R&;B,Soul,Soul Pop,Pop",3,2
3909,a little gasoline,terri clark,2001,Pop,3,2
3910,bent,matchbox twenty,2001,"Adult Alternative,Pop-Rock,Alternative Rock,Rock",3,2
3911,don't mess with the radio,nivea,2001,R&;B,3,1
3912,music,madonna,2001,"House,Electronic,Dance,Pop",3,2
3913,no more drama,mary j. blige,2001,"Soul Pop,Pop,Soul,R&;B",3,2
3914,feels like love,vince gill,2001,Country,2,2
3915,blurry,puddle of mudd,2001,"Post-Grunge,Rock",2,2
3916,loaded,ricky martin,2001,"Pop,Rock",2,1
3917,you're a god,vertical horizon,2001,Pop,2,2
3918,that's how i beat shaq,aaron carter,2001,Pop,2,1
3919,go on,george strait,2001,"Country,Rock",1,2
3920,the christmas shoes,newsong,2001,"Rock,Christmas",1,2
3921,kiss this,aaron tippin,2001,Pop,1,2
3922,open my heart,yolanda adams,2001,"Pop,Gospel,R&;B",1,2
3923,ain't it funny,jennifer lopez,2001,"Remix,Rap,Pop,R&;B",1,2
3924,what hurts the most,rascal flatts,2006,"Disney,Soundtrack,Country,Rock",45,2
3925,move along,the all,2006,"Adult Alternative,Alternative Rock,Power Pop,Pop-Rock,Pop,Rock",39,1
3926,unwritten,natasha bedingfield,2006,"UK,Screen,Soundtrack,R&;B,Pop",38,2
3927,how to save a life,the fray,2006,"Piano,Adult Contemporary,Adult Alternative,Pop-Rock,Alternative Rock,Pop,Rock",36,2
3928,i write sins not tragedies,panic! at the disco,2006,"Punk Rock,Emo,Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Pop-Punk,Rock",35,1
3929,chasing cars,snow patrol,2006,Rock,31,2
3930,bad day,daniel powter,2006,"Pop-Rock,Pop,Rock",31,1
3931,temperature,sean paul,2006,"Reggae,Jamaica,Dancehall,Rap",31,1
3932,you're beautiful,james blunt,2006,Pop,29,2
3933,ridin',chamillionaire,2006,"Conscious Hip-Hop,Gangsta Rap,Memes,Rap",29,1
3934,walk away,kelly clarkson,2006,"Pop-Rock,Pop,Rock",29,1
3935,hate me,blue october,2006,"Alternative Rock,Rock",28,1
3936,savin' me,nickelback,2006,Rock,28,1
3937,sos,rihanna,2006,"Synth-Pop,Dance-Pop,Dance,Pop",28,1
3938,it's goin' down,yung joc,2006,Rap,28,1
3939,dani california,red hot chili peppers,2006,"Adult Alternative,Alternative Rock,Pop-Rock,Funk Rock,Rock",26,1
3940,who says you can't go home,bon jovi,2006,Rock,26,1
3941,promiscuous,nelly furtado,2006,"Dance-Pop,Synth-Pop,R&;B,Canada,Pop,Rap",26,1
3942,what's left of me,nick lachey,2006,Pop,25,1
3943,waiting on the world to change,john mayer,2006,"Protest Songs,Singer-Songwriter,Adult Alternative,Adult Contemporary,Pop-Rock,Soul,Blues Rock,Rock",23,2
3944,"dance, dance",fall out boy,2006,"Alternative Pop,Alternative,Emo,Pop-Punk,Punk Rock,Pop-Rock,Alternative Rock,Rock",22,2
3945,give it up to me,sean paul,2006,"Jamaica,Dancehall,Rap",22,1
3946,lips of an angel,hinder,2006,"Alternative Rock,Rock",22,2
3947,sexy love,ne,2006,"R&;B,Rap",21,1
3948,so what,field mob,2006,"R&;B,Rap",21,1
3949,ever the same,rob thomas,2006,Pop,20,1
3950,leave the pieces,the wreckers,2006,Country,20,1
3951,i know you see it,yung joc,2006,Rap,20,1
3952,pullin' me back,chingy,2006,Rap,20,1
3953,miss murder,afi,2006,"Post-Hardcore,Alternative Rock,Pop-Punk,Emo,Rock",20,1
3954,life is a highway,rascal flatts,2006,"Disney,Soundtrack,TV,Pop Country,Cover,Country,Rock",20,1
3955,when the stars go blue,tim mcgraw,2006,Country,20,1
3956,far away,nickelback,2006,"Ballad,Adult Contemporary,Pop-Rock,Alternative Rock,Post-Grunge,Rock",20,2
3957,get drunk and be somebody,toby keith,2006,"Country,Rock",20,1
3958,touch it,busta rhymes,2006,Rap,20,2
3959,not ready to make nice,dixie chicks,2006,"Country,Rock",20,2
3960,grillz,nelly,2006,"Crunk,Dirty South,Hip-Hop,Rap",20,2
3961,i call it love,lionel richie,2006,Rock,20,1
3962,s.e.x.,lyfe jennings,2006,Rap,20,1
3963,would you go with me,josh turner,2006,"Country,Rock",20,1
3964,so sick,ne,2006,R&;B,20,2
3965,the kill,thirty seconds to mars,2006,"Alternative,Alternative Rock,Rock",20,1
3966,brand new girlfriend,steve holy,2006,Country,20,1
3967,upside down,jack johnson,2006,"Pop,Jazz Fusion,Acoustic,Pop-Rock,Sing Along,Soundtrack,Screen,Folk Rock,Folk,Adult Alternative,Adult Contemporary,Rock",20,1
3968,"steady, as she goes",the raconteurs,2006,"Adult Alternative,Pop-Rock,Alternative Rock,Psychedelic Rock,Garage Rock,Power Pop,Indie Rock,Rock",20,1
3969,stay with you,goo goo dolls,2006,Rock,20,1
3970,the world,brad paisley,2006,"Country,Rock",20,1
3971,summertime,kenny chesney,2006,"Country,Rock",20,1
3972,animal i have become,three days grace,2006,"Alternative Rock,Rock",20,1
3973,through glass,stone sour,2006,Rock,20,2
3974,crazy bitch,buckcherry,2006,"Hard Rock,Rock",20,1
3975,can't let go,anthony hamilton,2006,"Soul,R&;B",19,1
3976,unfaithful,rihanna,2006,"Ballad,R&;B,Pop",19,1
3977,when you were young,the killers,2006,"Alternative Rock,Rock",19,2
3978,love,keyshia cole,2006,"Ballad,Soul,Neo Soul,Soul Pop,R&;B",19,1
3979,give it away,george strait,2006,"Country,Rock",19,1
3980,shoulder lean,young dro,2006,Rap,19,1
3981,why you wanna,t.i.,2006,"Producer,Rap",19,1
3982,tonight i wanna cry,keith urban,2006,Country,19,2
3983,face down,the red jumpsuit apparatus,2006,Rock,19,2
3984,ain't no other man,christina aguilera,2006,"R&;B,Funk,Pop",18,1
3985,because of you,kelly clarkson,2006,"Pop-Rock,Ballad,Pop",18,2
3986,makedamnsure,taking back sunday,2006,Rock,18,1
3987,your man,josh turner,2006,"Country,Rock",18,2
3988,show stopper,danity kane,2006,Rap,18,2
3989,dirty little secret,the all,2006,"Emo,Pop-Punk,Pop,Alternative Rock,Rock",18,2
3990,bring it on home,little big town,2006,Country,18,1
3991,call me when you're sober,evanescence,2006,Rock,18,2
3992,settle for a slowdown,dierks bentley,2006,"Country,Rock",18,1
3993,something's gotta give,leann rimes,2006,Country,18,1
3994,pump it,the black eyed peas,2006,"Dance-Pop,Hip-Hop,Pop,Rap",18,2
3995,money maker,ludacris,2006,Rap,17,2
3996,"jesus, take the wheel",carrie underwood,2006,Country,17,2
3997,what you know,t.i.,2006,Rap,17,1
3998,about us,brooke hogan,2006,Rap,17,1
3999,hustlin',rick ross,2006,Rap,17,1
4000,living in fast forward,kenny chesney,2006,"Country,Rock",17,1
4001,don't forget to remember me,carrie underwood,2006,Country,17,1
4002,l.o.v.e.,ashlee simpson,2006,Rock,16,2
4003,life ain't always beautiful,gary allan,2006,Pop,16,1
4004,poppin' my collar,three 6 mafia,2006,"Trap,Rap",16,1
4005,photograph,nickelback,2006,"Acoustic,Hard Rock,Adult Contemporary,Alternative Rock,Post-Grunge,Pop-Rock,Memes,Rock",16,2
4006,the real thing,bo bice,2006,Rock,16,1
4007,my humps,the black eyed peas,2006,"Dance,Pop,Rap",16,2
4008,me and my gang,rascal flatts,2006,"Country,Rock",16,1
4009,stupid girls,p!nk,2006,"Pop,Rock",16,1
4010,tell me baby,red hot chili peppers,2006,"Pop-Rock,Adult Alternative,Alternative Rock,Funk Rock,Rock",16,2
4011,looking for you,kirk franklin,2006,Pop,16,2
4012,every mile a memory,dierks bentley,2006,"Rock,Country",16,1
4013,before he cheats,carrie underwood,2006,"Pop,Country",16,2
4014,you and me,lifehouse,2006,"Pop-Rock,Rock",16,2
4015,you save me,kenny chesney,2006,"Country,Rock",16,2
4016,here it goes again,ok go,2006,"Pop-Punk,Power Pop,Pop-Rock,Indie Rock,Rock",16,2
4017,in my mind,heather headley,2006,Pop,15,1
4018,walk it out,unk,2006,"East Coast,Atlanta,Dirty South,Remix,Rap",15,2
4019,my wish,rascal flatts,2006,"Country,Rock",15,2
4020,perfect situation,weezer,2006,"Pop-Punk,Emo,Alternative Rock,Rock",15,2
4021,rodeo,juvenile,2006,Rap,15,2
4022,tim mcgraw,taylor swift,2006,"Pop Country,Country,Pop",15,2
4023,a little too late,toby keith,2006,"Country,Rock",15,1
4024,kerosene,miranda lambert,2006,Country,14,2
4025,dj play a love song,jamie foxx,2006,R&;B,14,1
4026,maneater,nelly furtado,2006,"Electro-Pop,New Wave,Electronic Rock,Dance-Pop,Pop",14,2
4027,once in a lifetime,keith urban,2006,Country,14,1
4028,nobody but me,blake shelton,2006,"Country,Rock",14,1
4029,last day of my life,phil vassar,2006,Pop,14,1
4030,welcome to the black parade,my chemical romance,2006,"Punk Rock,Hard Rock,Post-Hardcore,Emo,Alternative Rock,Pop-Punk,Rock",14,2
4031,push it,rick ross,2006,Rap,14,1
4032,king without a crown,matisyahu,2006,"Adult Alternative,Rock,Rap,Alternative Rock,Reggae",14,1
4033,ring the alarm,beyonce,2006,"R&;B,Pop",13,2
4034,wherever you are,jack ingram,2006,Pop,13,1
4035,gotta go,trey songz,2006,R&;B,13,2
4036,say i,christina milian,2006,"R&;B,Rap",13,1
4037,smack that,akon,2006,"R&;B,Rap",13,2
4038,take me as i am,mary j. blige,2006,"Soul,R&;B",13,2
4039,want to,sugarland,2006,"Country,Rock",13,2
4040,hurt,christina aguilera,2006,"Ballad,Pop",12,2
4041,cheatin',sara evans,2006,Country,12,1
4042,i wanna love you,akon,2006,"R&;B,Rap",12,2
4043,one wish,ray j,2006,"Rap,R&;B",12,2
4044,streetcorner symphony,rob thomas,2006,Pop,12,2
4045,rockstar,nickelback,2006,"Alternative Rock,Post-Grunge,Canada,Hard Rock,Rock",12,3
4046,it ends tonight,the all,2006,"Alternative Rock,Rock",12,2
4047,a public affair,jessica simpson,2006,"Rock,Dance,Pop",12,1
4048,we be burnin',sean paul,2006,"Jamaica,Pop,Dancehall,Rap",12,2
4049,we fly high,jim jones,2006,"Producer,Rap",11,2
4050,control myself,ll cool j,2006,Rap,11,1
4051,she's everything,brad paisley,2006,"Country,Rock",11,2
4052,boston,augustana,2006,"Pop-Rock,Rock",11,2
4053,oh yes,juelz santana,2006,Rap,11,1
4054,turn it up,chamillionaire,2006,Pop,11,2
4055,mountains,lonestar,2006,Country,11,1
4056,who i am hates who i've been,relient k,2006,Rock,11,1
4057,luxurious,gwen stefani,2006,"R&;B,Rap,Pop",11,2
4058,hung up,madonna,2006,"Dance-Pop,Synth-Pop,Electronica,Electronic,Dance,Disco,Pop",11,2
4059,lights and sounds,yellowcard,2006,Rock,10,1
4060,honky tonk badonkadonk,trace adkins,2006,Country,10,2
4061,she let herself go,george strait,2006,"Country,Rock",10,2
4062,shortie like mine,bow wow,2006,"R&;B,Rap",10,2
4063,back like that,ghostface killah,2006,Rap,10,1
4064,boondocks,little big town,2006,Country,10,2
4065,swing,trace adkins,2006,Country,10,1
4066,some people change,montgomery gentry,2006,Country,10,2
4067,good luck charm,jagged edge,2006,R&;B,10,1
4068,irreplaceable,beyonce,2006,"Pop,R&;B",9,2
4069,is it any wonder?,keane,2006,"Protest Songs,Adult Alternative,Alternative Rock,UK,Pop,Rock",9,1
4070,must be doin' somethin' right,billy currington,2006,"Country,Rock",9,2
4071,if it's lovin' that you want,rihanna,2006,"R&;B,Pop",9,2
4072,crash,gwen stefani,2006,"New Wave,Synth-Pop,Pop",8,1
