,Name,Artist,year_in_which_song_repeated,Genre,song_repeated_in_one_year_count,total_years_song_repeated
226,bohemian rhapsody,queen,2018,"Memes,Piano,British Rock,Adult Alternative,Baroque Pop,Hard Rock,Opera,Orchestral,Pop-Rock,Pop,Progressive Rock,Ballad,Art Rock,UK,Rock",3,1
227,kamikaze,eminem,2018,Rap,3,1
228,elevate,drake,2018,"Trap,Canada,Rap",3,1
229,juice,yo gotti,2018,Rap,3,2
230,survival,drake,2018,"Canada,Rap",2,1
231,feliz navidad,jose feliciano,2018,"Rock,Pop,Latin Pop,Latin Music,Holiday,Christmas",2,3
232,is there more,drake,2018,"Canada,Rap",2,1
233,can't be broken,lil wayne,2018,Rap,2,1
234,dedicate,lil wayne,2018,"Trap,Rap",2,1
235,photograph,j. cole,2018,Rap,2,1
236,peak,drake,2018,"R&;B,Canada,Rap",2,1
237,this is it,scotty mccreery,2018,Country,2,2
238,on me,meek mill,2018,"East Coast,Rap",2,1
239,finesse,drake,2018,"R&;B,Canada,Rap",2,1
240,supplies,justin timberlake,2018,"Trap,Electro-Pop,Electronic,Funk,Pop",2,1
241,nico and the niners,twenty one pilots,2018,"Emo Rap,Emo,Alternative Pop,Alternative,Pop",2,1
242,summer games,drake,2018,"R&;B,Canada,Rap",2,1
243,greatest,eminem,2018,Rap,2,1
244,head above water,avril lavigne,2018,"Piano,Ballad,Canada,Christian Rock,Gospel,Christian,Pop-Rock,Pop",2,1
245,jaded,drake,2018,"Canada,R&;B,Rap",2,1
246,light it up,luke bryan,2018,Country,2,2
247,look what you made me do,taylor swift,2018,"Beef,Dance-Pop,Alternative Pop,Electro-Pop,Pop",2,2
248,here comes santa claus,gene autry,2018,"Christmas,Pop",2,2
249,babe,sugarland,2018,"Country,Pop",2,1
250,what about us,p!nk,2018,"LGBTQ+,Electro-Pop,Pop",2,2
251,motiv8,j. cole,2018,Rap,2,1
252,black panther,kendrick lamar,2018,"Marvel,Soundtrack,West Coast,Rap",1,1
253,what would meek do?,pusha t,2018,"Trap,Rap",1,1
254,supastars,migos,2018,"Motown,Trap,Rap",1,1
255,white sand,migos,2018,"Trap,Motown,Rap",1,1
256,trauma,meek mill,2018,Rap,1,1
257,white christmas,bing crosby,2018,"Pop,Christmas",1,2
258,almost slipped,meek mill,2018,"East Coast,R&;B,Rap",1,1
259,cc,migos,2018,"Motown,Trap,Rap",1,1
260,auto pilot,migos,2018,"Motown,Trap,Rap",1,1
261,brackets,j. cole,2018,"Conscious Hip-Hop,Rap",1,1
262,used 2,lil wayne,2018,"Trap,East Coast,Rap",1,1
263,took his time,lil wayne,2018,"Trap,East Coast,Rap",1,1
264,championships,meek mill,2018,"East Coast,Rap",1,1
265,walk on water,eminem,2018,"Ballad,Piano,Rap",1,2
266,thriller,michael jackson,2018,"Eighties,Halloween,Funk,Synth-Pop,Soul,Soul Pop,R&;B,Pop",1,4
267,the games we play,pusha t,2018,"East Coast,Rap",1,1
268,intro,meek mill,2018,Rap,1,1
269,respect the game,meek mill,2018,"East Coast,Rap",1,1
270,come back to earth,mac miller,2018,"Conscious Hip-Hop,Rap",1,1
271,my blood,twenty one pilots,2018,"Nu Disco,Alternative Dance,Indie Pop,Indie,Synth-Pop,Electronic Rock,Electro-Pop,Electronic,Pop-Punk,Pop-Rock,Punk Rock,Alternative Pop,Alternative,Alternative Rock,Rock,Pop",1,1
272,intro,j. cole,2018,"Boom Bap,Rap",1,1
273,infrared,pusha t,2018,"East Coast,Beef,Rap",1,1
274,if you know you know,pusha t,2018,"East Coast,Rap",1,1
275,hurt feelings,mac miller,2018,Rap,1,1
276,hittas,lil wayne,2018,"East Coast,Rap",1,1
277,make me feel,janelle monae,2018,"Alternative R&;B,Electronic,Funk,R&;B",1,1
278,man of the woods,justin timberlake,2018,"Alternative Pop,Funk-Pop,Funk,Pop",1,1
279,march 14,drake,2018,"Canada,R&;B,Rap",1,1
280,mess,lil wayne,2018,"Trap,East Coast,Rap",1,1
281,have it all,jason mraz,2018,"Adult Contemporary,Adult Alternative,Rock,Pop-Rock,Pop",1,1
282,gang gang,migos,2018,"R&;B,Motown,Rap",1,1
283,stepping stone,eminem,2018,Rap,1,1
284,normal,eminem,2018,"Trap,Rap",1,1
285,oodles o' noodles babies,meek mill,2018,"East Coast,Rap",1,1
286,open letter,lil wayne,2018,Rap,1,1
287,open safe,lil wayne,2018,"West Coast,East Coast,Rap",1,1
288,final fantasy,drake,2018,"R&;B,Canada,Rap",1,1
289,perfect strangers,lil wayne,2018,"East Coast,Rap",1,1
290,problems,lil wayne,2018,"Trap,Rap",1,1
291,ratchet happy birthday,drake,2018,"R&;B,Canada,Rap",1,1
292,emoji a chain,migos,2018,"Motown,Trap,Rap",1,1
293,demon,lil wayne,2018,"Trap,East Coast,Rap",1,1
294,let it all work out,lil wayne,2018,"Trap,UK,Rap",1,1
295,you and me,lifehouse,2005,"Pop-Rock,Rock",45,2
296,since u been gone,kelly clarkson,2005,"Pop-Rock,Pop,Rock",42,2
297,we belong together,mariah carey,2005,"R&;B,Pop",38,2
298,scars,papa roach,2005,"Emo,Alternative Rock,Rock",38,1
299,beverly hills,weezer,2005,"Pop,Rock",38,2
300,mr. brightside,the killers,2005,"Emo,Pop-Punk,Post-Punk Revival,Pop-Rock,Alternative Dance,Synth-Pop,Indie Rock,Pop,New Wave,Rock",37,1
301,behind these hazel eyes,kelly clarkson,2005,"Pop-Rock,Pop,Rock",34,1
302,lonely no more,rob thomas,2005,Rock,34,1
303,collide,howie day,2005,"Alternative Rock,Pop-Rock,Rock",32,1
304,hollaback girl,gwen stefani,2005,"Memes,Rap,Pop",31,1
305,switch,will smith,2005,Rap,28,1
306,lose control,missy elliott,2005,Rap,28,1
307,let me love you,mario,2005,"Pop,R&;B",25,2
308,pon de replay,rihanna,2005,"Dancehall,R&;B,Pop",25,1
309,breakaway,kelly clarkson,2005,"Screen,Pop-Rock,Soundtrack,Pop,Rock",25,2
310,disco inferno,50 cent,2005,Rap,24,2
311,rich girl,gwen stefani,2005,"Reggae,Pop,Rap",24,2
312,don't phunk with my heart,the black eyed peas,2005,"Dance-Pop,Hip-Hop,Pop,Rap",24,1
313,let me hold you,bow wow,2005,"R&;B,Rap",23,1
314,shake it off,mariah carey,2005,Pop,23,2
315,candy shop,50 cent,2005,Rap,23,1
316,hate it or love it,the game,2005,"Hip-Hop,West Coast,Gangsta Rap,Conscious Hip-Hop,Rap",22,1
317,oh,ciara,2005,"R&;B,Rap",22,1
318,karma,alicia keys,2005,"Neo Soul,R&;B",22,2
319,how we do,the game,2005,"West Coast,Rap",22,2
320,wake me up when september ends,green day,2005,"Adult Alternative,Emo,Alternative Rock,Ballad,Punk Rock,Rock",22,2
321,dirty little secret,the all,2005,"Emo,Pop-Punk,Pop,Alternative Rock,Rock",21,2
322,best of you,foo fighters,2005,"Alternative Rock,Rock",21,1
323,gone,montgomery gentry,2005,Pop,20,1
324,grind with me,pretty ricky,2005,R&;B,20,1
325,nothin' to lose,josh gracin,2005,Country,20,1
326,home,michael buble,2005,"Christmas,Jazz,Pop",20,1
327,cool,gwen stefani,2005,"Synth-Pop,New Wave,Pop",20,1
328,my give a damn's busted,jo dee messina,2005,Pop,20,1
329,must be nice,lyfe jennings,2005,"R&;B,Rap",20,1
330,fast cars and freedom,rascal flatts,2005,Country,20,1
331,incomplete,backstreet boys,2005,"Boy Band,Pop",20,1
332,like you,bow wow,2005,Rap,20,1
333,give me that,webbie,2005,Rap,20,1
334,it's like that,mariah carey,2005,"R&;B,Pop",20,1
335,truth is,fantasia,2005,"R&;B,Soul,Soul Pop,Pop",20,1
336,just the girl,the click five,2005,Rock,20,1
337,look what you've done,jet,2005,"Adult Alternative,Alternative Rock,Pop-Rock,Rock",20,1
338,don't lie,the black eyed peas,2005,"R&;B,Rap",20,1
339,free yourself,fantasia,2005,R&;B,20,1
340,chariot,gavin degraw,2005,"Pop-Rock,Pop,Rock",20,1
341,making memories of us,keith urban,2005,Country,20,1
342,1 thing,amerie,2005,"Pop,R&;B",20,1
